ItemName;ItemCode;Empresa;CreateDate;UpdateDate;u_coleccion;u_estilo;u_genero;u_descripcion;u_descrip_color;u_division;u_sellitem;BarCode;bot_type
151211/ARIZONA BFBC BIRKENSTOCK/42/STONE;140000104171968;SBO_00_DISRESALV;19/03/2024 0:00;25/03/2025 0:00;Core Essential;151211;UNISEX;ARIZONA BFBC BIRKENSTOCK;STONE;CLASSIC;1;736400000000.0;BIRKEN
151211/ARIZONA BFBC BIRKENSTOCK/43/STONE;140000104172068;SBO_00_DISRESALV;19/03/2024 0:00;05/05/2025 0:00;Core Essential;151211;UNISEX;ARIZONA BFBC BIRKENSTOCK;STONE;CLASSIC;1;736400000000.0;BIRKEN
151211/ARIZONA BFBC BIRKENSTOCK/44/STONE;140000104172168;SBO_00_DISRESALV;19/03/2024 0:00;25/03/2025 0:00;Core Essential;151211;UNISEX;ARIZONA BFBC BIRKENSTOCK;STONE;CLASSIC;1;736400000000.0;BIRKEN
151213/ARIZONA BFBC BIRKENSTOCK/39/STONE;140000114171668;SBO_00_DISRESALV;16/05/2024 0:00;08/11/2024 0:00;Core Essential;151213;UNISEX;ARIZONA BFBC BIRKENSTOCK;STONE;CLASSIC;1;736400000000.0;BIRKEN
151213/ARIZONA BFBC BIRKENSTOCK/40/STONE;140000114171768;SBO_00_DISRESALV;16/05/2024 0:00;07/05/2025 0:00;Core Essential;151213;UNISEX;ARIZONA BFBC BIRKENSTOCK;STONE;CLASSIC;1;736400000000.0;BIRKEN
151213/ARIZONA BFBC BIRKENSTOCK/41/STONE;140000114171868;SBO_00_DISRESALV;16/05/2024 0:00;07/05/2025 0:00;Core Essential;151213;UNISEX;ARIZONA BFBC BIRKENSTOCK;STONE;CLASSIC;1;736400000000.0;BIRKEN
129423/ARIZONA EVA BIRKENSTOCK/38/BLACK;140000234051568;SBO_00_DISRESALV;19/03/2024 0:00;25/03/2025 0:00;Seasonal;129423;UNISEX;ARIZONA EVA BIRKENSTOCK;BLACK;ACTIVE;1;886454000000.0;BIRKEN
129423/ARIZONA EVA BIRKENSTOCK/39/BLACK;140000234051668;SBO_00_DISRESALV;19/03/2024 0:00;08/11/2024 0:00;Seasonal;129423;UNISEX;ARIZONA EVA BIRKENSTOCK;BLACK;ACTIVE;1;886454000000.0;BIRKEN
129423/ARIZONA EVA BIRKENSTOCK/40/BLACK;140000234051768;SBO_00_DISRESALV;19/03/2024 0:00;25/03/2025 0:00;Seasonal;129423;UNISEX;ARIZONA EVA BIRKENSTOCK;BLACK;ACTIVE;1;886454000000.0;BIRKEN
1028151/ARIZONA LEVE-LEOI/44/THYME;200001434092168;SBO_00_DISRESALV;12/02/2025 0:00;05/05/2025 0:00;Seasonal;1028151;MENS;ARIZONA LEVE-LEOI;THYME;CLASSIC;1;192762000000.0;BIRKEN
1028151/ARIZONA LEVE-LEOI/45/THYME;200001434092268;SBO_00_DISRESALV;12/02/2025 0:00;05/05/2025 0:00;Seasonal;1028151;MENS;ARIZONA LEVE-LEOI;THYME;CLASSIC;1;192762000000.0;BIRKEN
1028151/ARIZONA LEVE-LEOI/46/THYME;200001434092368;SBO_00_DISRESALV;12/02/2025 0:00;05/05/2025 0:00;Seasonal;1028151;MENS;ARIZONA LEVE-LEOI;THYME;CLASSIC;1;192762000000.0;BIRKEN
1028151/ARIZONA LEVE-LEOI/47/THYME;200001434092468;SBO_00_DISRESALV;12/02/2025 0:00;05/05/2025 0:00;Seasonal;1028151;MENS;ARIZONA LEVE-LEOI;THYME;CLASSIC;1;192762000000.0;BIRKEN
660463/BOSTON SFB LEVE/38/MOCCA;140001444161568;SBO_00_DISRESALV;12/02/2025 0:00;27/02/2025 0:00;Core Essential;660463;UNISEX;BOSTON SFB LEVE;MOCCA;CLASSIC;1;809410000000.0;BIRKEN
660463/BOSTON SFB LEVE/39/MOCCA;140001444161668;SBO_00_DISRESALV;12/02/2025 0:00;27/02/2025 0:00;Core Essential;660463;UNISEX;BOSTON SFB LEVE;MOCCA;CLASSIC;1;809410000000.0;BIRKEN
660463/BOSTON SFB LEVE/40/MOCCA;140001444161768;SBO_00_DISRESALV;12/02/2025 0:00;25/03/2025 0:00;Core Essential;660463;UNISEX;BOSTON SFB LEVE;MOCCA;CLASSIC;1;809410000000.0;BIRKEN
660463/BOSTON SFB LEVE/42/MOCCA;140001444161968;SBO_00_DISRESALV;12/02/2025 0:00;25/03/2025 0:00;Core Essential;660463;UNISEX;BOSTON SFB LEVE;MOCCA;CLASSIC;1;809410000000.0;BIRKEN
